model,cluster,count,share
Mistral Nemo,Anglo,340,0.1561065197428834
Mistral Nemo,Confucian Asia,106,0.048668503213957756
Mistral Nemo,Eastern Europe,124,0.05693296602387511
Mistral Nemo,Germanic Europe,286,0.13131313131313133
Mistral Nemo,Latin America,137,0.06290174471992654
Mistral Nemo,Latin Europe,158,0.07254361799816346
Mistral Nemo,Middle East,83,0.03810835629017447
Mistral Nemo,Nordic Europe,552,0.2534435261707989
Mistral Nemo,Southern Asia,178,0.08172635445362718
Mistral Nemo,Sub-Saharan Africa,214,0.09825528007346189
Qwen2.5 7B,Anglo,345,0.15811182401466545
Qwen2.5 7B,Confucian Asia,169,0.07745187901008249
Qwen2.5 7B,Eastern Europe,151,0.0692025664527956
Qwen2.5 7B,Germanic Europe,235,0.1076993583868011
Qwen2.5 7B,Latin America,171,0.07836846929422549
Qwen2.5 7B,Latin Europe,179,0.08203483043079743
Qwen2.5 7B,Middle East,121,0.05545371219065078
Qwen2.5 7B,Nordic Europe,388,0.1778185151237397
Qwen2.5 7B,Southern Asia,194,0.08890925756186985
Qwen2.5 7B,Sub-Saharan Africa,229,0.10494958753437214
Llama 3.1 8B,Anglo,390,0.17873510540788268
Llama 3.1 8B,Confucian Asia,113,0.05178735105407883
Llama 3.1 8B,Eastern Europe,121,0.05545371219065078
Llama 3.1 8B,Germanic Europe,293,0.13428047662694775
Llama 3.1 8B,Latin America,139,0.06370302474793767
Llama 3.1 8B,Latin Europe,152,0.06966086159486709
Llama 3.1 8B,Middle East,84,0.0384967919340055
Llama 3.1 8B,Nordic Europe,539,0.2470210815765353
Llama 3.1 8B,Southern Asia,165,0.07561869844179651
Llama 3.1 8B,Sub-Saharan Africa,186,0.08524289642529789
Llama 3 8B,Anglo,334,0.15307057745187902
Llama 3 8B,Confucian Asia,136,0.06232813932172319
Llama 3 8B,Eastern Europe,140,0.06416131989000917
Llama 3 8B,Germanic Europe,292,0.13382218148487626
Llama 3 8B,Latin America,151,0.0692025664527956
Llama 3 8B,Latin Europe,172,0.07882676443629698
Llama 3 8B,Middle East,90,0.04124656278643447
Llama 3 8B,Nordic Europe,481,0.22043996333638863
Llama 3 8B,Southern Asia,175,0.08020164986251145
Llama 3 8B,Sub-Saharan Africa,211,0.09670027497708525
Llama 3.2 1B,Anglo,315,0.14436296975252064
Llama 3.2 1B,Confucian Asia,187,0.08570119156736938
Llama 3.2 1B,Eastern Europe,168,0.076993583868011
Llama 3.2 1B,Germanic Europe,277,0.12694775435380384
Llama 3.2 1B,Latin America,197,0.09028414298808432
Llama 3.2 1B,Latin Europe,189,0.08661778185151238
Llama 3.2 1B,Middle East,119,0.05453712190650779
Llama 3.2 1B,Nordic Europe,347,0.15902841429880843
Llama 3.2 1B,Southern Asia,210,0.09624197983501374
Llama 3.2 1B,Sub-Saharan Africa,173,0.07928505957836847
