model,language,samples,relaxed_answered,relaxed_accuracy_total
Llama 3 8B,Arabic,1464,1464,0.60724043715847
Llama 3 8B,Chinese,1464,1464,0.6133879781420765
Llama 3 8B,English,1464,1464,0.6564207650273224
Llama 3 8B,Hindi,1464,1464,0.6318306010928961
Llama 3 8B,Russian,1464,1461,0.610655737704918
Llama 3 8B,Spanish,1464,1463,0.671448087431694
Llama 3.1 8B,Arabic,1464,1463,0.6222677595628415
Llama 3.1 8B,Chinese,1464,1461,0.6325136612021858
Llama 3.1 8B,English,1464,1463,0.6509562841530054
Llama 3.1 8B,Hindi,1464,1460,0.6618852459016393
Llama 3.1 8B,Russian,1464,1464,0.6147540983606558
Llama 3.1 8B,Spanish,1464,1409,0.6502732240437158
Llama 3.2 1B,Arabic,1464,785,0.2766393442622951
Llama 3.2 1B,Chinese,1464,923,0.34289617486338797
Llama 3.2 1B,English,1464,1461,0.5963114754098361
Llama 3.2 1B,Hindi,1464,463,0.16666666666666666
Llama 3.2 1B,Russian,1464,1440,0.4781420765027322
Llama 3.2 1B,Spanish,1464,1390,0.5730874316939891
Mistral Nemo,Arabic,1464,1464,0.6127049180327869
Mistral Nemo,Chinese,1464,1460,0.6338797814207651
Mistral Nemo,English,1464,1464,0.6721311475409836
Mistral Nemo,Hindi,1464,1460,0.6577868852459017
Mistral Nemo,Russian,1464,1464,0.6311475409836066
Mistral Nemo,Spanish,1464,1464,0.6810109289617486
Qwen2.5 7B,Arabic,1464,1464,0.6345628415300546
Qwen2.5 7B,Chinese,1464,1464,0.6475409836065574
Qwen2.5 7B,English,1464,1463,0.6550546448087432
Qwen2.5 7B,Hindi,1464,1464,0.6065573770491803
Qwen2.5 7B,Russian,1464,1464,0.6461748633879781
Qwen2.5 7B,Spanish,1464,1464,0.6516393442622951
