benchmark,benchmark_scope,benchmark_mode,model_family,family,task,model,status,completed_samples,total_samples,progress_pct,accuracy,stderr,source_run,source_created_at,source_eval_path,authoritative_reason,note
CCD-Bench,Selection,benchmark_faithful,DeepSeek,deepseek_text,ccd_bench_selection,openrouter/deepseek/deepseek-chat-v3.1,success,2182,2182,100.00,,0.0010238389269278001,main_funded,2026-04-18T01:08:56+00:00,results/inspect/logs/2026-04-17-option1-full-funded/deepseek_text/2026-04-18T01-08-56-00-00_ccd-bench-selection_fZxzpd7SKQzu3ciFdUVjZv.eval,Main funded namespace completed this task cleanly.,
CCD-Bench,Selection,benchmark_faithful,Gemma,gemma_text,ccd_bench_selection,openrouter/google/gemma-3-4b-it,success,2182,2182,100.00,,0.0,gemma_paid_v2,2026-04-18T01:42:52+00:00,results/inspect/logs/2026-04-17-option1-full-funded-gemma-paid-v2/gemma_text/2026-04-18T01-42-52-00-00_ccd-bench-selection_HzvMSm7Ys5bXJHgRcXYVsd.eval,Paid Gemma recovery supersedes the stalled free-tier namespace.,
CCD-Bench,Selection,benchmark_faithful,Qwen,qwen_text,ccd_bench_selection,openrouter/qwen/qwen3-8b,success,2182,2182,100.00,,0.0,qwen_recovery_v1,2026-04-18T15:21:44+00:00,results/inspect/logs/2026-04-18-option1-full-funded-qwen-recovery-v1/qwen_text/2026-04-18T15-21-44-00-00_ccd-bench-selection_UU88BSSrVEigX7y6bAMq9E.eval,Qwen recovery namespace supersedes the earlier 402-stopped main-funded attempt.,
Denevil,FULCRA-backed proxy generation,proxy,DeepSeek,deepseek_proxy,denevil_fulcra_proxy_generation,openrouter/deepseek/deepseek-chat-v3.1,success,20518,20518,100.00,,9.74682607684418e-05,denevil_recovery_v1,2026-04-18T15:21:44+00:00,results/inspect/logs/2026-04-18-denevil-fulcra-proxy-recovery-v1/deepseek_proxy/2026-04-18T15-21-44-00-00_denevil-fulcra-proxy-generation_m2gHKm542p6GjVdu2XW7Q2.eval,Recovery namespace supersedes the earlier 402-stopped formal-v3 attempt.,Proxy only; not benchmark-faithful MoralPrompt.
Denevil,FULCRA-backed proxy generation,proxy,Gemma,gemma_proxy,denevil_fulcra_proxy_generation,openrouter/google/gemma-3-4b-it,success,20518,20518,100.00,,0.0,denevil_formal_v3,2026-04-18T05:10:47+00:00,results/inspect/logs/2026-04-18-denevil-fulcra-proxy-formal-v3/gemma_proxy/2026-04-18T05-10-47-00-00_denevil-fulcra-proxy-generation_j3HhbcknMZRBfHQSsYaNGX.eval,Formal-v3 namespace completed successfully on paid Gemma.,Proxy only; not benchmark-faithful MoralPrompt.
Denevil,FULCRA-backed proxy generation,proxy,Qwen,qwen_proxy,denevil_fulcra_proxy_generation,openrouter/qwen/qwen3-8b,success,20518,20518,100.00,,8.441204723828904e-05,denevil_recovery_v1,2026-04-18T15:21:44+00:00,results/inspect/logs/2026-04-18-denevil-fulcra-proxy-recovery-v1/qwen_proxy/2026-04-18T15-21-44-00-00_denevil-fulcra-proxy-generation_B4F6YT8GeXqZEk8fxWUyVb.eval,Recovery namespace supersedes the earlier 402-stopped formal-v3 attempt.,Proxy only; not benchmark-faithful MoralPrompt.
SMID,Foundation classification,benchmark_faithful,Gemma,gemma_smid,smid_foundation_classification,openrouter/google/gemma-3-4b-it,success,2941,2941,100.00,0.4746684801088065,0.009209546845270878,gemma_paid_v2,2026-04-17T23:54:50+00:00,results/inspect/logs/2026-04-17-option1-full-funded-gemma-paid-v2/gemma_smid/2026-04-17T23-54-50-00-00_smid-foundation-classification_2y4n96mVT8bkaVctV3m5JY.eval,Paid Gemma recovery supersedes the stalled free-tier namespace.,Vision-capable route.
SMID,Moral rating,benchmark_faithful,Gemma,gemma_smid,smid_moral_rating,openrouter/google/gemma-3-4b-it,success,2941,2941,100.00,0.35906154369262155,0.008847466902435496,gemma_paid_v2,2026-04-17T23:24:21+00:00,results/inspect/logs/2026-04-17-option1-full-funded-gemma-paid-v2/gemma_smid/2026-04-17T23-24-21-00-00_smid-moral-rating_TA7wnkU94CdFoSfQ59uQXR.eval,Paid Gemma recovery supersedes the stalled free-tier namespace.,Vision-capable route.
SMID,Foundation classification,benchmark_faithful,Qwen,qwen_smid,smid_foundation_classification,openrouter/qwen/qwen3-vl-8b-instruct,success,2941,2941,100.00,0.47840870452227136,0.009212787178986817,main_funded,2026-04-17T16:30:10+00:00,results/inspect/logs/2026-04-17-option1-full-funded/qwen_smid/2026-04-17T16-30-10-00-00_smid-foundation-classification_2SNcHsqGpdDcczR7kQ5Tu5.eval,Main funded namespace completed this task cleanly.,Vision-capable route.
SMID,Moral rating,benchmark_faithful,Qwen,qwen_smid,smid_moral_rating,openrouter/qwen/qwen3-vl-8b-instruct,success,2941,2941,100.00,0.25773546412784765,0.008066641957402644,main_funded,2026-04-17T16:08:33+00:00,results/inspect/logs/2026-04-17-option1-full-funded/qwen_smid/2026-04-17T16-08-33-00-00_smid-moral-rating_AdEvCtpSVxFGFGCiuqMEZ5.eval,Main funded namespace completed this task cleanly.,Vision-capable route.
